"Fornecedor";"Contratante";"Número do Contrato";"Objeto do Contrato";"Início da Vigência";"Fim da Vigência";"Data da Assinatura";"Valor do Contrato";"Valor é porcentagem?";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Secretaria de Administracao";"041002019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"496.4";"0";
"MARIA DE FATIMA SILVA SOUZA - ME";"Secretaria de Administracao";"041142019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"735.9";"0";
"ALDRIN COUTINHO DE ARAUJO ME SALUTAR";"Secretaria de Administracao";"041872019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"224.25";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Secretaria de Administracao";"041952019";"Aquisicao de generos alimenticios nao pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"36.25";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Secretaria de Educacao";"040952019";"Aquisicao de generos alimenticios pereciveis e  nao pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"2974191.04";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Secretaria de Educacao";"04892019";"Aquisicao de generos alimenticios nao pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"1079589.2";"0";
"DISTRIBUIDORA FF ALIMENTOS";"Secretaria de Desenvolvimento Social";"040962019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES.";"2019-04-25";"2020-04-24";"2019-04-25";"343291.75";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Instituto Candida Vargas";"040872019";"Aquisicao de generos alimenticios  nao pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"93570.23";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Instituto Candida Vargas";"040992019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"27052.8";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Secretaria de Educacao";"041012019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"1809200.0";"0";
"JOAO FERREIRA DE O. NETO CARNES E FRIOS EPP";"Instituto Candida Vargas";"041062019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"13665.34";"0";
"JOAO FERREIRA DE O. NETO CARNES E FRIOS EPP";"Secretaria de Administracao";"041072019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"3838.0";"0";
"JOAO FERREIRA DE O. NETO CARNES E FRIOS EPP";"Secretaria de Educacao";"041082019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"1768165.0";"0";
"MARIA DE FATIMA SILVA SOUZA - ME";"Instituto Candida Vargas";"041132019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"33184.51";"0";
"MARIA DE FATIMA SILVA SOUZA - ME";"Secretaria de Educacao";"041152019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"209355.0";"0";
"JPM JOAO PESSOA MERCANTIL EIRELLI";"Secretaria de Administracao";"041202019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"1173.75";"0";
"LUCIELMA MARIA OLIVEIRA DA SILVA";"Secretaria de Administracao";"041262019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"2923.0";"0";
"LUCIELMA MARIA OLIVEIRA DA SILVA";"Secretaria de Educacao";"041272019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"81129.0";"0";
"NORTE FRUT. LTDA";"Instituto Candida Vargas";"041492019";"Aquisicao de generos alimenticios   pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"46403.94";"0";
"NORTE FRUT. LTDA";"Secretaria de Administracao";"041502019";"Aquisicao de generos alimenticios pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"253.5";"0";
"NORTE FRUT. LTDA";"Secretaria de Educacao";"041512019";"Aquisicao de generos alimenticios pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"394489.08";"0";
"SIMOES DE ANDRADE & CIA LTDA.";"Secretaria de Educacao";"041692019";"Aquisicao de generos alimenticios nao pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"24540.36";"0";
"PANIFICADORA VASCONCELOS LTDA";"Instituto Candida Vargas";"041712019";"Aquisicao de generos alimenticios   nao pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"52085.87";"0";
"PANIFICADORA VASCONCELOS LTDA";"Secretaria de Educacao";"041722019";"Aquisicao de generos alimenticios nao pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"56336.7";"0";
"DISTRIBUIDORA BRAZMAC LTDA";"Secretaria de Educacao";"041762019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"1178000.0";"0";
"MEGA MASTER COMERCIAL DE ALIMENTOS EIRELI,";"Instituto Candida Vargas";"041792019";"Aquisicao de generos alimenticios   nao pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-04-25";"2020-04-24";"2019-04-25";"8879.94";"0";
"MEGA MASTER COMERCIAL DE ALIMENTOS EIRELI,";"Secretaria de Administracao";"041802019";"Aquisicao de generos alimenticios nao pereciveis  para atender as necessidades da Secretaria de Administracao-SEAD.";"2019-04-25";"2020-04-24";"2019-04-25";"17395.0";"0";
"MEGA MASTER COMERCIAL DE ALIMENTOS EIRELI,";"Secretaria de Educacao";"041812019";"Aquisicao de generos alimenticios  nao pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"977837.2";"0";
"ALDRIN COUTINHO DE ARAUJO ME SALUTAR";"Instituto Candida Vargas";"041862019";"Aquisicao de generos alimenticios   pereciveis para atender as necessidades do Instituto Candida Vargas-ICV.";"2019-05-25";"2020-04-24";"2019-04-25";"12818.6";"0";
"ALDRIN COUTINHO DE ARAUJO ME SALUTAR";"Secretaria de Educacao";"041882019";"Aquisicao de generos alimenticios   pereciveis para atender as necessidades da Secretaria de Educacao e Cultura -SEDEC.";"2019-04-25";"2020-04-24";"2019-04-25";"252070.0";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Secretaria de Desenvolvimento Social";"040902019";"Aquisicao de generos alimenticios  nao pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES.";"2019-04-25";"2020-04-24";"2019-04-25";"494891.9";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Secretaria de Desenvolvimento Social";"041022019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES.";"2019-04-25";"2020-04-24";"2019-04-25";"132730.04";"0";
"MARIA DE FATIMA SILVA SOUZA - ME";"Secretaria de Desenvolvimento Social";"041162019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES.";"2019-04-25";"2020-04-24";"2019-04-25";"72322.54";"0";
"JOAO FERREIRA DE O. NETO CARNES E FRIOS EPP";"Secretaria de Desenvolvimento Social";"041092019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES.";"2019-04-25";"2020-04-24";"2019-04-25";"374996.88";"0";
"JPM JOAO PESSOA MERCANTIL EIRELLI";"Secretaria de Desenvolvimento Social";"041222019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES";"2019-04-25";"2020-04-24";"2019-04-25";"67680.0";"0";
"LUCIELMA MARIA OLIVEIRA DA SILVA";"Secretaria de Desenvolvimento Social";"041282019";"Aquisicao de generos alimenticios  pereciveis para atender as necessidades da Secretaria de Desenvolvimento Social- SEDES";"2019-04-25";"2020-04-24";"2019-04-25";"59554.8";"0";
"JSB Distribuidora Ltda.-ME";"Superintendencia Executiva de Mobilidade Urbana";"442018";"Aquisicao de material de expediente";"2018-12-04";"2019-12-04";"2018-12-04";"185.0";"0";
"HC COMERCIO DE PAPELARIA E SERVICOS EIRELI-EPP";"Superintendencia Executiva de Mobilidade Urbana";"452018";"Aquisicao de material de expediente";"2018-12-04";"2019-12-04";"2018-12-04";"10671.4";"0";
"Papelaria e Livraria Pedro II Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"462018";"Aquisicao de material de expediente";"2018-12-04";"2019-12-04";"2018-12-04";"1837.0";"0";
"GILMARA MARTINS DAS NEVES - ME R";"Superintendencia Executiva de Mobilidade Urbana";"372018";"Contratacao de empresa para consertos em equipamentos eletrnicos com fornecimento de pecas equipamentos de sinalizacao visual e sonoros tipo giroflex";"2018-11-28";"2019-11-28";"2018-11-28";"30000.0";"0";
"REGIS UNIFORMES E COMERCIO EIRELI";"Superintendencia Executiva de Mobilidade Urbana";"352018";"Contratacao de empresa especializada na confeccao de acessorios utilizados pelos agentes de Mobilidade Urbana";"2018-11-21";"2019-11-21";"2018-11-21";"7550.0";"0";
"J A & R - SOLUCOES INTEGRADAS LTDA - ME";"Superintendencia Executiva de Mobilidade Urbana";"392018";"Contratacao de empresa especializada na confeccao de acessorios utilizados pelos agentes de Mobilidade Urbana";"2018-11-29";"2019-11-29";"2018-11-29";"110931.6";"0";
"JONATHAN DE ALBUQUERQUE REINO - ME";"Superintendencia Executiva de Mobilidade Urbana";"472018";"Contratacao de empresa especializada na confeccao de acessorios utilizados pelos agentes de Mobilidade Urbana";"2018-12-04";"2019-12-04";"2018-12-04";"6149.5";"0";
"BJ Comercio de Alimentos Ltda.EPP";"Superintendencia Executiva de Mobilidade Urbana";"482018";"Aquisicao de agua mineral (copo de agua 200 ml)";"2018-12-13";"2019-12-13";"2018-12-13";"46080.0";"0";
"ESPERANCA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS INDUSTRIALIZADOS EIRELI - ME";"Superintendencia Executiva de Mobilidade Urbana";"332018";"Aquisicao de agua mineral garrafao de 20 (vinte) litros";"2018-10-24";"2019-10-24";"2018-12-24";"9331.2";"0";
"DIGISEC - CERTIFICACAO DIGITAL EIRELI - ME";"Superintendencia Executiva de Mobilidade Urbana";"172018";"Aquisicao de certificados digitais tipo A3, com validade de 03 (tres) anos, para pessoa fisica, com token para armazenamento incluso";"2018-05-08";"2021-05-08";"2018-05-08";"630.0";"0";
"Auseni Linhares Lacerda";"Secretaria de Desenvolvimento Social";"04232019";"Locacao de imovel nao residencial destinado  instalacao do Centro de Referncia da Assistncia Social-CRAS.";"2019-02-05";"2024-02-04";"2019-02-05";"94985.4";"0";
"Alianca Dis. De Mat. em Geral Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"302018";"Aquisicao de material de expediente (papel A4)";"2018-09-13";"2019-09-13";"2018-09-13";"22500.0";"0";
"Editora Grafica Meta Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"362018";"Contratacao de empresa especializada em servico de material grafico";"2018-11-23";"2019-11-23";"2018-11-23";"20142.0";"0";
"Inter Graf Grafica e Editora Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"382018";"Contratacao de empresa especializada em servico de material grafico";"2018-11-29";"2019-11-29";"2018-11-29";"5700.0";"0";
"CONTIPLAN INDUSTRIA GRAFICA LTDA. EPP.";"Superintendencia Executiva de Mobilidade Urbana";"342018";"Contratacao de empresa especializada em servico de material grafico";"2018-11-19";"2019-11-19";"2018-11-19";"20100.0";"0";
"N.F Industria e Comercio de alimentos Ltda. - Me";"Secretaria Extraordinaria de Politicas Publicas para as Mulheres";"04252019";"Contratacao de empresa especializada em confeccao, manipulacao e fornecimento e transporte de refeicoes tipo lanche, quentinha e cafe da manha para atender as necessidades da Secretaria de Politicas Publicas para as Mulheres-SEPPM.";"";"";"2019-02-13";"23330.61";"0";
"GENILDA GALDINO DE ARAUJO";"Secretaria Municipal de Turismo";"040242019";"Locacao de imovel nao residencial destinado ao funcionamento da Secretaria do Turismo - SETUR.";"2019-02-01";"2024-01-31";"2019-02-01";"323700.0";"0";
"ETC - EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS";"Superintendencia Executiva de Mobilidade Urbana";"9912447535";"A prestacao pelos Correiros de servicoes e vendas de produtos que atendam as necessidades da contratante ";"2018-07-16";"2019-07-16";"2018-07-16";"2000000.0";"0";
"ETC - EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS";"Superintendencia Executiva de Mobilidade Urbana";"9912447535";"A prestacao pelos Correiros de servicoes e vendas de produtos que atendam as necessidades da contratante ";"2019-07-26";"2020-07-26";"2019-05-14";"2008894.96";"0";
"HC COMERCIO DE PAPELARIA E SERVICOS EIRELI-EPP";"Superintendencia Executiva de Mobilidade Urbana";"402018";"Aquisicao de equipamentos de informatica";"2018-11-29";"2019-11-29";"2018-11-29";"889.6";"0";
"Datem Computadores";"Superintendencia Executiva de Mobilidade Urbana";"422018";"Aquisicao de equipamentos de informatica";"2018-11-29";"2019-11-29";"2018-11-29";"178241.96";"0";
"CR Energia e Informatica Eireli-Epp";"Superintendencia Executiva de Mobilidade Urbana";"432018";"Aquisicao de equipamentos de informatica";"2018-11-30";"2019-11-30";"2018-11-30";"8000.0";"0";
"LAPTOP INFORMATICA E TECNOLOGIA LTDA - EPP";"Superintendencia Executiva de Mobilidade Urbana";"412018";"Aquisicao de equipamentos de informatica";"2018-12-03";"2019-12-03";"2018-12-03";"1999.95";"0";
"SERGIO NUNES CABRAL DA SILVA ";"Secretaria de Educacao";"040262019";"Locacao de imovel nao residencial destinado ao funcionamento do Conselho Municipal de Educacao vinculado  Secretaria de Educacao e Cultura-SEDEC.";"2019-02-01";"2024-01-31";"2019-02-01";"228591.0";"0";
"THIAGO HENRIQUE ASSIS DE MOURA EIRELI (TDF INFORMATICA E SERVICOS GRAFICOS)";"Superintendencia Executiva de Mobilidade Urbana";"192018";"Contratacao de empresa especializada em servico de impressao digital do tipo adesivo (carros, motos e bicicletas)";"2018-06-11";"2019-06-11";"2018-06-11";"20400.0";"0";
"Companhia de Processamento de Dados da Paraiba-CODATA";"Superintendencia Executiva de Mobilidade Urbana";"382017";"Prestacao de servicos de Tecnologia da Informacao e Comunicacao ";"2017-10-03";"2018-10-03";"2017-10-03";"19200.0";"0";
"Companhia de Processamento de Dados da Paraiba-CODATA";"Superintendencia Executiva de Mobilidade Urbana";"382017";"Prestacao de servicos de Tecnologia da Informacao e Comunicacao ";"2018-10-03";"2019-10-03";"2018-09-26";"19200.0";"0";
"ELAINE GOMES GALVAO EPP - UNIMIX";"Secretaria de Desenvolvimento Social";"040782019";"Aquisicao de material permanente (eletroeletronico, eletrodomestico e condicionador de ar) para atender as necessidades da Secretaria de Desenvolvimento Social-SEDES.";"2019-04-04";"";"2019-04-04";"21620.0";"0";
"Editora Grafica Meta Ltda.";"Superintendencia Executiva de Mobilidade Urbana";"242018";"Aquisicao de material para educacao para o transito";"2018-08-14";"2019-08-14";"2018-08-14";"25847.0";"0";
"HML COMERCIAL LTDA";"Superintendencia Executiva de Mobilidade Urbana";"252018";"Aquisicao de material para educacao para o transito";"2018-08-14";"2019-08-14";"2018-08-14";"40800.0";"0";
"MAXIMO INDUSTRIA E COMERCIO EIRELI";"Superintendencia Executiva de Mobilidade Urbana";"262018";"Aquisicao de material para educacao para o transito";"2018-08-14";"2019-08-14";"2018-08-14";"12000.0";"0";
"GRAFICA E EDITORA LICEU LTDA";"Superintendencia Executiva de Mobilidade Urbana";"272018";"Aquisicao de material para educacao para o transito";"2018-08-14";"2019-08-14";"2018-08-14";"35200.0";"0";
"JUSSARA NEVES DE FREITAS NAZION";"Superintendencia Executiva de Mobilidade Urbana";"292018";"Aquisicao de material para educacao para o transito";"2018-09-12";"2019-09-12";"2018-09-12";"2200.0";"0";
"THIAGO HENRIQUE ASSIS DE MOURA EIRELI (TDF INFORMATICA E SERVICOS GRAFICOS)";"Superintendencia Executiva de Mobilidade Urbana";"312018";"Aquisicao de material para educacao para o transito";"2018-10-15";"2019-10-15";"2018-10-15";"136340.0";"0";
"MARFLY VIAGENS E TURISMO EIRELI";"Superintendencia Executiva de Mobilidade Urbana";"062019";"Contratacao de empresa especializada no fornecimento de passagens aereas nacionais";"2019-03-13";"2020-03-13";"2019-03-13";"10.0";"1";
"Ernubia de Souza Rufino";"Secretaria de Desenvolvimento Social";"042852018";"Locacao de imovel nao residencial destinado ao funcionamento da casa acolhida masculina. com o Municipio de Joao Pessoa  vinculada a Secretaria de Desenvolvimento Social -SEDES";"2018-12-26";"2023-12-25";"2018-12-26";"240000.0";"0";
"RB COMUNICACAO VISUAL EIRELI";"Controladoria Geral do Municipio";"040682019";"Contratacao de empresa especializada na producao e fornecimento de materiais graficos, eventualmente destinados aos eventos realizados pela Controladoria do Municipio-CGM.";"2019-03-12";"";"2019-03-12";"4800.0";"0";
"JONISAN INDUSTRIA E COMERCIO DE METAIS - EIRELI ";"Controladoria Geral do Municipio";"040702019";"Contratacao de empresa especializada na producao e fornecimento de materiais graficos, eventualmente destinados aos eventos realizados pela Controladoria do Municipio-CGM.";"";"";"2019-04-01";"15024.25";"0";
"CARNES, FRUTOS DO MAR COMERCIO LTDA - ME";"Secretaria de Desenvolvimento Social";"042832018";"Aquisicao de Generos Pereciveis, para atender as necessidades da Secretaria de Desenvolvimento Social da Prefeitura de Joao Pessoa- SEDES.";"";"";"2018-12-27";"93688.0";"0";
"MARFLY VIAGENS E TURISMO EIRELI";"Instituto de Previdencia do Municipio";"0272018";"Contratacao de empresa especializada no fornecimento de passagens aereas internacionais, para atender as necessidades deste Instituto de Previdencia";"";"";"2018-11-14";"10.0";"1";
"HC COMERCIO DE PAPELARIA E SERVICOS EIRELI-EPP";"Instituto de Previdencia do Municipio";"0232018";"Aquisicao de material de expediente";"2018-10-27";"2018-12-31";"2018-10-15";"543.8";"0";
"Maria Jose Ferreira-ME";"Instituto de Previdencia do Municipio";"0242018";"Aquisicao de material de expediente";"2018-10-24";"2018-12-31";"2018-10-15";"4394.04";"0";
"ENGELTECH ELEVADORES LTDA-ME";"Instituto de Previdencia do Municipio";"0202018";"Contratacao de empresa especializada para prestacao de servicos continuados de manutencao preventiva e corretiva com reposicao de pecas quando necessario de 01 (um) elevador, instalado no Shopping Popular 4&400";"2018-08-08";"2019-08-08";"2018-08-08";"7800.0";"0";
